tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,tweet_location,user_timezone
570306133677760513,neutral,1.0,None,0.0,Virgin America,cairdin,0, what  said,2015-02-24 11:35:52,,Eastern Time (US & Canada)
570301130888122368,positive,0.3486,None,0.0,Virgin America,jnardino,0, plus youve added commercials to the experience tacky,2015-02-24 11:15:59,,Pacific Time (US & Canada)
570301083672813571,neutral,0.6837,None,0.0,Virgin America,yvonnalynn,0, i didnt today must mean i need to take another trip,2015-02-24 11:15:48,Lets Play,Central Time (US & Canada)
570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,jnardino,0, its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,2015-02-24 11:15:36,,Pacific Time (US & Canada)
570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,jnardino,0, and its a really big bad thing about it,2015-02-24 11:14:45,,Pacific Time (US & Canada)
570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,jnardino,0," seriously would pay 30 a flight for seats that didnt have this playing
its really the only bad thing about flying va",2015-02-24 11:14:33,,Pacific Time (US & Canada)
570300616901320704,positive,0.6745,None,0.0,Virgin America,cjmcginnis,0, yes nearly every time i fly vx this ear worm wont go away ,2015-02-24 11:13:57,San Francisco CA,Pacific Time (US & Canada)
570300248553349120,neutral,0.634,None,0.0,Virgin America,pilot,0, really missed a prime opportunity for men without hats parody there ,2015-02-24 11:12:29,Los Angeles,Pacific Time (US & Canada)
570299953286942721,positive,0.6559,None,0.0,Virgin America,dhepburn,0, well i didntbut now i do d,2015-02-24 11:11:19,San Diego,Pacific Time (US & Canada)
570295459631263746,positive,1.0,None,0.0,Virgin America,YupitsTate,0, it was amazing and arrived an hour early youre too good to me,2015-02-24 10:53:27,Los Angeles,Eastern Time (US & Canada)
570294189143031808,neutral,0.6769,None,0.0,Virgin America,idk_but_youtube,0, did you know that suicide is the second leading cause of death among teens 1024,2015-02-24 10:48:24,1/1 loner squad,Eastern Time (US & Canada)
570289724453216256,positive,1.0,None,0.0,Virgin America,HyperCamiLax,0, i lt3 pretty graphics so much better than minimal iconography d,2015-02-24 10:30:40,NYC,America/New_York
570289584061480960,positive,1.0,None,0.0,Virgin America,HyperCamiLax,0, this is such a great deal already thinking about my 2nd trip to  amp i havent even gone on my 1st trip yet p,2015-02-24 10:30:06,NYC,America/New_York
570287408438120448,positive,0.6451,None,0.0,Virgin America,mollanderson,0,  im flying your fabulous seductive skies again u take all the stress away from travel ,2015-02-24 10:21:28,,Eastern Time (US & Canada)
570285904809598977,positive,1.0,None,0.0,Virgin America,sjespers,0, thanks,2015-02-24 10:15:29,"San Francisco, CA",Pacific Time (US & Canada)
570282469121007616,negative,0.6842,Late Flight,0.3684,Virgin America,smartwatermelon,0, sfopdx schedule is still mia,2015-02-24 10:01:50,"palo alto, ca",Pacific Time (US & Canada)
570277724385734656,positive,1.0,None,0.0,Virgin America,ItzBrianHunty,0, so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america 29daystogo,2015-02-24 09:42:59,west covina,Pacific Time (US & Canada)
570276917301137409,negative,1.0,Bad Flight,1.0,Virgin America,heatherovieda,0,  i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help,2015-02-24 09:39:46,this place called NYC,Eastern Time (US & Canada)
570270684619923457,positive,1.0,None,0.0,Virgin America,thebrandiray,0,i  flying  ,2015-02-24 09:15:00,Somewhere celebrating life. ,Atlantic Time (Canada)
570267956648792064,positive,1.0,None,0.0,Virgin America,JNLpierce,0, you know what would be amazingly awesome bosfll please i want to fly with only you,2015-02-24 09:04:10,Boston | Waltham,Quito
570265883513384960,negative,0.6705,Can't Tell,0.3614,Virgin America,MISSGJ,0, why are your first fares in may over three times more than other carriers when all seats are available to select,2015-02-24 08:55:56,,
570264145116819457,positive,1.0,None,0.0,Virgin America,DT_Les,0, i love this graphic ,2015-02-24 08:49:01,,
570259420287868928,positive,1.0,None,0.0,Virgin America,ElvinaBeck,0, i love the hipster innovation you are a feel good brand,2015-02-24 08:30:15,Los Angeles,Pacific Time (US & Canada)
570258822297579520,neutral,1.0,None,0.0,Virgin America,rjlynch21086,0, will you be making bosgtlas non stop permanently anytime soon,2015-02-24 08:27:52,"Boston, MA ",Eastern Time (US & Canada)
570256553502068736,negative,1.0,Customer Service Issue,0.3557,Virgin America,ayeevickiee,0, you guys messed up my seating i reserved seating with my friends and you guys gave my seat away   i want free internet,2015-02-24 08:18:51,714,Mountain Time (US & Canada)
570249102404923392,negative,1.0,Customer Service Issue,1.0,Virgin America,Leora13,0, status match program  i applied and its been three weeks  called and emailed with no response,2015-02-24 07:49:15,,
570239632807370753,negative,1.0,Can't Tell,0.6614,Virgin America,meredithjlynn,0, what happened 2 ur vegan food options at least say on ur site so i know i wont be able 2 eat anything for next 6 hrs fail,2015-02-24 07:11:37,,
570217831557677057,neutral,0.6854,None,0.0,Virgin America,AdamSinger,0, do you miss me dont worry well be together very soon,2015-02-24 05:44:59,"San Francisco, CA",Central Time (US & Canada)
570207886493782019,negative,1.0,Bad Flight,1.0,Virgin America,blackjackpro911,0, amazing to me that we cant get any cold air from the vents vx358 noair worstflightever roasted sfotobos,2015-02-24 05:05:28,"San Mateo, CA & Las Vegas, NV",
570124596180955136,neutral,0.615,None,0.0,Virgin America,TenantsUpstairs,0, lax to ewr  middle seat on a red eye such a noob maneuver sendambien andchexmix,2015-02-23 23:34:30,Brooklyn,Atlantic Time (Canada)
570114021854212096,negative,1.0,Flight Booking Problems,1.0,Virgin America,jordanpichler,0, hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems ,2015-02-23 22:52:29,,Vienna
570094701371469825,neutral,1.0,None,0.0,Virgin America,JCervantezzz,0, are the hours of operation for the club at sfo that are posted online current,2015-02-23 21:35:43,"California, San Francisco",Pacific Time (US & Canada)
570088404156698625,negative,1.0,Customer Service Issue,1.0,Virgin America,Cuschoolie1,0, help left expensive headphones on flight 89 iad to lax today seat 2a no one answering lampf number at lax,2015-02-23 21:10:41,Washington DC,Quito
570084582780899328,negative,1.0,Customer Service Issue,1.0,Virgin America,amanduhmccarty,0, awaiting my return phone call just would prefer to use your online selfservice option ,2015-02-23 20:55:30,,Pacific Time (US & Canada)
570076792993611776,positive,1.0,None,0.0,Virgin America,NorthTxHomeTeam,0, this is great news  america could start flights to hawaii by end of year  via ,2015-02-23 20:24:33,Texas,Central Time (US & Canada)
570051991277342720,neutral,0.6207,None,0.0,Virgin America,miaerolinea,0,nice rt  vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience ,2015-02-23 18:46:00,Worldwide,Caracas
570051381534396416,positive,1.0,None,0.0,Virgin America,Nicsplace,0, moodlighting is the only way to fly best experience ever cool and calming  moodlitmonday,2015-02-23 18:43:35,Central Texas,
570045393565691904,positive,1.0,None,0.0,Virgin America,Nicsplace,0,  done and done best airline around hands down,2015-02-23 18:19:47,Central Texas,
570038941497192448,neutral,0.6791,None,0.0,Virgin America,elisha_malulani,0, when can i book my flight to hawaii,2015-02-23 17:54:09,i'm creating a monster ,Pacific Time (US & Canada)
570035876845084672,negative,1.0,Customer Service Issue,1.0,Virgin America,DannyDouglass,0, your chat support is not working on your site ,2015-02-23 17:41:58,"San Francisco, CA",Pacific Time (US & Canada)
570033593394667521,positive,0.6639,None,0.0,Virgin America,jamesferrandini,0, view of downtown los angeles the hollywood sign and beyond that rain in the mountains ,2015-02-23 17:32:54,,
570025482344898560,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,will_lenzenjr,0, hey first time flyer next week  excited but im having a hard time getting my flights added to my elevate account help,2015-02-23 17:00:40,Iowa City,Central Time (US & Canada)
570016304284901379,neutral,1.0,None,0.0,Virgin America,GottAmanda,0, plz help me win my bid upgrade for my flight 227 laxgtsea  ,2015-02-23 16:24:11,Los Angeles,
570015408788414464,neutral,0.6578,None,0.0,Virgin America,KGervaise,0, i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires travelhelp,2015-02-23 16:20:38,Georgia,Pacific Time (US & Canada)
570013523650048002,neutral,1.0,None,0.0,Virgin America,papamurat,0, are flights leaving dallas for seattle on time feb 24,2015-02-23 16:13:09,,
570012257549070337,positive,1.0,None,0.0,Virgin America,arieldaie,0, im elevategold for a good reason you rock,2015-02-23 16:08:07,Los Angeles,
570011341483843584,neutral,0.6799,None,0.0,Virgin America,vacations7,0,  dream  ,2015-02-23 16:04:28,Turks and caicos,
570010571707256832,positive,1.0,None,0.0,Virgin America,ChelseaPoe666,0, wow this just blew my mind,2015-02-23 16:01:25,Oakland via Midwest ,Atlantic Time (Canada)
570010539499393025,neutral,1.0,None,0.0,Virgin America,BobGlavinVO,0,   after last night tribute soundofmusic oscars2015  i think  agree,2015-02-23 16:01:17,"New York, NY",Eastern Time (US & Canada)
570009713447825408,neutral,0.6436,None,0.0,Virgin America,lisaaiko,0,   all were entertaining,2015-02-23 15:58:00,,
570009035455344640,neutral,0.6764,None,0.0,Virgin America,grantbrowne,0, is flight 769 on its way was supposed to take off 30 minutes ago website still shows on time not in flight thanks,2015-02-23 15:55:18,Worldwide,Central Time (US & Canada)
570006886012973056,positive,0.657,None,0.0,Virgin America,joyabsalon,0,   julie andrews all the way though  was very impressive no to ,2015-02-23 15:46:46,Northern Virginia,Eastern Time (US & Canada)
570004391731847169,neutral,1.0,None,0.0,Virgin America,2v,0, wish you flew out of atlanta soon,2015-02-23 15:36:51,Los Angeles / Atlanta,Eastern Time (US & Canada)
570001194900426752,neutral,0.7118,None,0.0,Virgin America,KSmithFoundHere,0,   julie andrews hands down,2015-02-23 15:24:09,,Atlantic Time (Canada)
570000071644872704,neutral,1.0,None,0.0,Virgin America,papamurat,0, will flights be leaving dallas for la on february 24th,2015-02-23 15:19:41,,
569996412286582784,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,murphicus,0, hi im so excited about your 99 lgagtdal deal but ive been trying 2 book since last week amp the page never loads thx,2015-02-23 15:05:09,"new york, new york",Eastern Time (US & Canada)
569996245462159361,positive,1.0,None,0.0,Virgin America,VinnieFerra,0, you know it need it on my spotify stat guiltypleasures,2015-02-23 15:04:29,"brooklyn, Ny",Pacific Time (US & Canada)
569990222609412097,positive,0.635,None,0.0,Virgin America,KevinDemsi,0,    im lady gaga she is amazing ,2015-02-23 14:40:33,"Bali, Republic of Indonesia",Kuala Lumpur
569990163209850881,neutral,0.7007,None,0.0,Virgin America,giffgaffman,0,    carrie,2015-02-23 14:40:19,"UK, USA. ",
